agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,agent_type,PCE,time_period,distance,travel_time,node_sequence,time_sequence
1582,1,11,5577,5119,1,1.0000,0706:14_0706:14,4.772,8.755,5577;5436;5018;5017;11124;5022;5524;5863;5009;5027;11150;5109;4804;5106;5117;11255;5118;5727;5119;,0706:12;0706:33;0707:15;0707:57;0708:33;0708:47;0709:07;0709:54;0710:13;0710:28;0710:58;0711:09;0711:40;0712:12;0714:04;0714:18;0714:40;0714:52;0715:00;
1583,31,41,1314,5578,1,1.0000,0738:31_0738:31,1.968,3.275,1314;11146;5017;5018;5436;5578;,0738:30;0739:18;0739:39;0740:21;0741:03;0741:48;
1584,1,13,5577,5034,1,1.0000,0738:15_0738:15,3.126,5.034,5577;5436;5018;5017;11124;5022;5524;5863;5009;5027;11129;5034;,0738:12;0738:34;0739:17;0739:58;0740:35;0740:49;0741:09;0741:56;0742:15;0742:30;0742:44;0743:18;
1585,6,9,5238,5356,1,1.0000,0710:36_0710:36,2.754,5.094,5238;5208;11261;5214;11259;5587;5174;5868;5216;5356;,0710:36;0711:48;0712:09;0712:37;0712:50;0713:32;0714:01;0714:21;0715:13;0715:42;
1586,17,9,1289,5356,1,1.0000,0720:05_0720:05,5.615,11.105,1289;4952;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11259;5587;5174;5868;5216;5356;,0720:00;0720:47;0721:43;0721:57;0722:30;0723:35;0724:06;0724:31;0725:00;0726:06;0726:42;0727:20;0728:10;0728:23;0729:04;0729:34;0729:53;0730:45;0731:12;
1587,3,14,11159,5037,1,1.0000,0726:36_0726:36,4.338,7.984,11159;5112;5589;5114;11161;5103;5820;11147;5022;5524;5863;5009;5027;5010;4958;5030;11128;5037;,0726:36;0727:00;0727:30;0727:53;0728:18;0729:00;0730:04;0730:38;0730:51;0731:11;0731:58;0732:17;0732:32;0733:05;0733:19;0733:35;0733:51;0734:36;
1588,3,22,11159,3689,1,1.0000,0717:34_0717:34,3.392,6.926,11159;5112;5589;5114;11173;5219;5232;11183;5215;5588;11184;11257;5175;11507;3689;,0717:30;0717:58;0718:20;0718:44;0719:13;0720:19;0720:55;0721:33;0721:57;0722:15;0722:41;0723:31;0724:03;0724:15;0724:30;
1589,34,13,1319,5034,1,1.0000,0715:37_0715:37,1.775,3.279,1319;11124;5022;5524;5863;5009;5027;11129;5034;,0715:36;0716:12;0716:26;0716:46;0717:33;0717:52;0718:07;0718:21;0718:54;
1590,7,38,11281,1397,1,1.0000,0737:49_0737:49,1.340,3.174,11281;5214;11261;1397;,0737:48;0738:44;0739:13;0741:00;
1591,13,31,5034,1314,1,1.0000,0704:24_0704:24,2.459,4.495,5034;11129;5027;5009;5863;5524;5022;11124;5017;11146;1314;,0704:24;0704:52;0705:06;0705:21;0705:40;0706:27;0706:47;0707:01;0707:37;0708:06;0708:54;
1592,19,13,1352,5034,1,1.0000,0759:49_0759:49,4.538,8.782,1352;6256;5232;5219;11173;5114;11161;5103;5820;11147;5022;5524;5863;5009;5027;11129;5034;,0759:48;0800:32;0801:10;0801:47;0802:52;0803:21;0803:46;0804:17;0805:22;0805:56;0806:09;0806:29;0807:16;0807:35;0807:50;0808:04;0808:36;
1593,1,21,5577,6253,1,1.0000,0759:34_0759:34,6.324,11.618,5577;5436;5018;5017;11124;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11259;5587;5174;5868;6253;,0759:30;0759:53;0800:36;0801:17;0801:54;0802:08;0802:21;0802:55;0804:00;0804:30;0804:55;0805:25;0806:30;0807:07;0807:45;0808:35;0808:48;0809:29;0809:58;0810:18;0811:12;
1594,1,18,5577,1286,1,1.0000,0724:53_0724:53,0.904,2.108,5577;5436;11125;1286;,0724:48;0725:12;0725:37;0727:00;
1595,7,15,11281,4899,1,1.0000,0708:21_0708:21,5.583,10.845,11281;5214;6256;5232;5219;11173;5114;11161;5103;5820;11147;5022;5524;5863;5009;5027;5010;4958;5030;4899;,0708:18;0709:16;0710:06;0710:44;0711:20;0712:26;0712:55;0713:30;0714:00;0715:05;0715:39;0715:52;0716:12;0716:59;0717:18;0717:33;0718:05;0718:19;0718:35;0719:12;
1596,21,19,6253,1352,1,1.0000,0717:23_0717:23,2.028,4.113,6253;5868;5174;5587;11259;5214;6256;1352;,0717:18;0718:10;0718:29;0718:59;0719:40;0719:53;0720:43;0721:30;
1597,31,13,1314,5034,1,1.0000,0726:19_0726:19,2.459,4.383,1314;11146;5017;11124;5022;5524;5863;5009;5027;11129;5034;,0726:18;0727:06;0727:27;0728:03;0728:17;0728:37;0729:24;0729:43;0729:58;0730:12;0730:42;
1598,7,16,11281,11827,1,1.0000,0748:49_0748:49,4.784,9.683,11281;5214;6256;5232;5219;11173;5114;11161;5103;5820;11147;5022;4952;5440;11827;,0748:48;0749:44;0750:34;0751:24;0752:00;0753:05;0753:35;0754:00;0754:30;0755:35;0756:09;0756:22;0757:19;0758:03;0758:30;
1599,35,38,1290,1397,1,1.0000,0734:24_0734:24,4.905,10.697,1290;4952;5022;11147;5820;5103;11161;5114;11173;5219;5232;6256;5214;11261;1397;,0734:24;0735:07;0736:12;0736:25;0737:06;0738:10;0738:41;0739:06;0739:35;0740:48;0741:24;0742:02;0742:52;0743:20;0745:06;
1600,3,41,11159,5578,1,1.0000,0725:53_0725:53,3.200,4.605,11159;5112;11160;5113;11148;5736;11146;5017;5018;5436;5578;,0725:48;0726:17;0726:35;0726:53;0727:22;0727:41;0728:02;0728:23;0729:04;0729:47;0730:30;
1601,17,41,1289,5578,1,1.0000,0724:19_0724:19,1.207,2.181,1289;5018;5436;5578;,0724:18;0725:04;0725:46;0726:30;
1602,2,41,11123,5578,1,1.0000,0741:58_0741:58,1.705,2.532,11123;5017;5018;5436;5578;,0741:54;0742:24;0743:05;0743:48;0744:30;
1603,1,24,5577,1325,1,1.0000,0702:32_0702:32,5.062,9.960,5577;5436;5018;5017;11124;5022;5524;5863;5009;5027;11150;5109;4804;5106;5117;11255;5118;11910;10853;1325;,0702:30;0702:51;0703:33;0704:15;0704:51;0705:05;0705:25;0706:12;0706:31;0706:46;0707:16;0707:26;0707:57;0708:30;0710:30;0710:43;0711:05;0711:36;0712:00;0712:30;
1604,1,5,5577,11282,1,1.0000,0756:19_0756:19,4.717,6.982,5577;5436;5018;5017;11146;5736;11148;5113;11160;5112;11172;5210;5211;5209;5208;11282;,0756:18;0756:37;0757:20;0758:01;0758:22;0758:43;0759:02;0759:31;0759:49;0800:07;0800:30;0801:16;0801:40;0802:12;0802:49;0803:18;
1605,31,11,1318,5119,1,1.0000,0744:12_0744:12,2.533,4.887,1318;11160;5112;5589;5114;5592;1;2;3;4;5;5117;11255;5118;5727;5119;,0744:12;0745:00;0745:17;0745:40;0746:04;0746:45;0746:59;0747:12;0747:26;0747:40;0747:53;0748:07;0748:21;0748:42;0748:55;0749:06;
